팀,씬,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16
1.구름바람작은도서관,씬1(비밴드),,,,합창1,합창2,합창3,합창4,,,,,,,,MR-L,MR-R
2.크로쓰리,씬2(밴드),보컬1,보컬2,보컬3,기타,킥,스네어,OH-L,OH-R,베이스,키보L,키보R,,,,MR-L,MR-R
3.통영시민오케스트라,씬1(비밴드),,,,,,,,바이올1,바이올2,,피아노,,,,MR-L,MR-R
4.스트림스,씬1(비밴드),,,,,,,,,,,,기타,,,MR-L,MR-R
5.한소리밴드,씬2(밴드),보컬1,보컬2,,기타,킥,스네어,OH-L,OH-R,베이스,키보L,키보R,,,,MR-L,MR-R
6.예띠,씬1(비밴드),보컬1,보컬2,보컬3,,,,,,,,,,,,MR-L,MR-R
7.가야금병창그룹MEAN,씬1(비밴드),,,,,,,,,,가야금,,,,,MR-L,MR-R
8.밴드(김대건팀),씬2(밴드),보컬1,보컬2,보컬3,기타,킥,스네어,OH-L,OH-R,베이스,키보L,키보R,,,,MR-L,MR-R
